module,versions
imagenet-mobilenet_v2_075_128-classification,3
imagenet-mobilenet_v2_075_128-feature_vector,3
imagenet-mobilenet_v2_075_160-classification,3
imagenet-mobilenet_v2_075_160-feature_vector,3
imagenet-mobilenet_v2_075_192-classification,3
imagenet-mobilenet_v2_075_192-feature_vector,3
imagenet-mobilenet_v2_075_224-classification,3
imagenet-mobilenet_v2_075_224-feature_vector,3
imagenet-mobilenet_v2_075_96-classification,3
imagenet-mobilenet_v2_075_96-feature_vector,3
imagenet-mobilenet_v2_100_128-classification,3
imagenet-mobilenet_v2_100_128-feature_vector,3
imagenet-mobilenet_v2_100_160-classification,3
imagenet-mobilenet_v2_100_160-feature_vector,3
imagenet-mobilenet_v2_100_192-classification,3
imagenet-mobilenet_v2_100_192-feature_vector,3
imagenet-mobilenet_v2_100_224-classification,3
imagenet-mobilenet_v2_100_224-feature_vector,3
imagenet-mobilenet_v2_100_96-classification,3
imagenet-mobilenet_v2_100_96-feature_vector,3
imagenet-mobilenet_v2_130_224-classification,3
imagenet-mobilenet_v2_130_224-feature_vector,3
imagenet-mobilenet_v2_140_224-classification,3
imagenet-mobilenet_v2_140_224-feature_vector,3
imagenet-nasnet_large-classification,2
imagenet-nasnet_large-feature_vector,2
imagenet-nasnet_mobile-classification,2
imagenet-nasnet_mobile-feature_vector,2
imagenet-pnasnet_large-classification,3
imagenet-pnasnet_large-feature_vector,3
imagenet-resnet_v1_101-classification,2
imagenet-resnet_v1_101-feature_vector,2
imagenet-resnet_v1_152-classification,2
imagenet-resnet_v1_152-feature_vector,2
imagenet-resnet_v1_50-classification,2
imagenet-resnet_v1_50-feature_vector,2
imagenet-resnet_v2_101-classification,2
imagenet-resnet_v2_101-feature_vector,2
imagenet-resnet_v2_152-classification,2
imagenet-resnet_v2_152-feature_vector,2
imagenet-resnet_v2_50-classification,2
imagenet-resnet_v2_50-feature_vector,2
inaturalist-inception_v3-feature_vector,2
nnlm-de-dim128,1
nnlm-de-dim128-with-normalization,1
nnlm-de-dim50,1
nnlm-de-dim50-with-normalization,1
nnlm-en-dim128,1
nnlm-en-dim128-with-normalization,1
nnlm-en-dim50,1
nnlm-en-dim50-with-normalization,1
nnlm-es-dim128,1
nnlm-es-dim128-with-normalization,1
nnlm-es-dim50,1
nnlm-es-dim50-with-normalization,1
nnlm-id-dim128,1
nnlm-id-dim128-with-normalization,1
nnlm-id-dim50,1
nnlm-id-dim50-with-normalization,1
nnlm-ja-dim128,1
nnlm-ja-dim128-with-normalization,1
nnlm-ja-dim50,1
nnlm-ja-dim50-with-normalization,1
nnlm-ko-dim128,1
nnlm-ko-dim128-with-normalization,1
nnlm-ko-dim50,1
nnlm-ko-dim50-with-normalization,1
nnlm-zh-dim128,1
nnlm-zh-dim128-with-normalization,1
nnlm-zh-dim50,1
nnlm-zh-dim50-with-normalization,1
openimages_v4-ssd-mobilenet_v2,1
progan-128,1
random-nnlm-en-dim128,1
random-nnlm-en-dim50,1
tf2-preview-gnews-swivel-20dim,1
tf2-preview-gnews-swivel-20dim-with-oov,1
tf2-preview-inception_v3-classification,4
tf2-preview-inception_v3-feature_vector,4
tf2-preview-mobilenet_v2-classification,4
tf2-preview-mobilenet_v2-feature_vector,4
tf2-preview-nnlm-en-dim128,1
tf2-preview-nnlm-en-dim50,1
universal-sentence-encoder,2
universal-sentence-encoder-large,3
universal-sentence-encoder-lite,2
universal-sentence-encoder-xling-en-de,1
universal-sentence-encoder-xling-en-es,1
universal-sentence-encoder-xling-en-fr,1
universal-sentence-encoder-xling-many,1
